episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
20,200,-1844.364011329555,42.0,0.7545638945233266,0.4222222222222222,0.2782334384858044,0.885962,8000,2.7369338262081144,-20.34293312072754,34.0,17.0,30.0,0.01,0.35294117647058826,0.6545454545454545
21,200,-1889.6719489034522,49.0,0.7599611273080661,0.2608695652173913,0.42798573975044557,0.878362,8400,2.942646235227585,-25.212789134979246,12.0,26.0,20.0,0.0025,0.6538461538461539,0.8
22,200,-1747.5252292286877,71.0,0.7271805273833671,0.22807017543859648,0.3776029962546816,0.870762,8800,2.709406710267067,-25.445205821990967,24.0,24.0,36.0,0.0075,0.7391304347826086,0.7941176470588235
23,200,-1862.9128059813759,76.0,0.7325581395348837,0.39285714285714285,0.5640624999999999,0.863162,9200,2.704035632610321,-25.59827341079712,32.0,38.0,48.0,0.0075,0.42105263157894735,0.6521739130434783
24,200,-1966.1372070522295,31.0,0.771964461994077,0.5932203389830508,0.5554913294797685,0.8555619999999999,9600,2.646437193751335,-25.712256097793578,30.0,21.0,38.0,0.0025,0.23809523809523808,0.34210526315789475
25,200,-1882.6251122142437,51.0,0.7448559670781894,0.6296296296296297,0.5170974155069582,0.847962,10000,2.6429868894815445,-26.456671047210694,36.0,39.0,44.0,0.0075,0.07692307692307693,0.5714285714285714
26,200,-1773.6886779404804,62.0,0.7342799188640974,0.2878787878787879,0.3246621621621621,0.840362,10400,2.7935354685783387,-30.206923513412477,24.0,40.0,34.0,0.0225,0.6111111111111112,0.6666666666666666
27,200,-1837.1007201179957,70.0,0.7391304347826086,0.0392156862745098,0.3470254957507082,0.832762,10800,2.6930184715986254,-30.18881136894226,14.0,26.0,27.0,0.005,0.92,0.9215686274509803
28,200,-1622.916073701154,83.0,0.7058201058201058,0.14925373134328357,0.6408372093023255,0.825162,11200,2.684100549817085,-30.577535037994384,15.0,32.0,38.0,0.01,0.7741935483870968,0.8309859154929577
29,200,-1786.4585463470096,41.0,0.7468487394957983,0.5806451612903226,0.5440129449838186,0.817562,11600,2.676688698530197,-30.61552788734436,34.0,31.0,36.0,0.015,0.20689655172413793,0.5384615384615384
30,200,-1703.859312728974,67.0,0.7219307450157397,0.3783783783783784,0.5015642458100558,0.8099620000000001,12000,2.652759751081467,-30.694950132369996,27.0,39.0,39.0,0.01,0.5428571428571428,0.6153846153846154
