scenario_name,policy_name,total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,energy_efficiency,jamming_failure_rate,collision_count,fairness_index,invalid_action_rate,out_of_coverage_action_rate,insufficient_energy_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_backscatter,mode_usage_active
scenario_2a_static_jammer_weak,greedy_nearest,-1832.168378092175,83.9,0.4195,0.0841859594917051,0.7171337670951893,17.034300000000012,2.6432466637600966,0.47099901077651884,0.0,0.21030392346589002,0.0,0.0,0.0,0.47099901077651884,59.666666666666664,24.233333333333334,0.2727681657502299,0.6972315558658315,1.0666666666666667,218.56666666666666,19.7
scenario_2a_static_jammer_weak,greedy_sinr,-1966.1733574586835,70.53333333333333,0.3526666666666667,0.07053097941690929,0.7300736379703024,17.067950000000007,0.9623407330535229,0.723873646084514,4.066666666666666,0.4655876361321207,0.0011666666666666668,0.0,0.4666666666666667,0.723873646084514,29.033333333333335,41.5,0.13323225672715167,0.38194360689445617,1.0666666666666667,215.76666666666668,57.333333333333336
scenario_2a_static_jammer_weak,htt_only,-1352.0052270682975,214.66666666666666,1.0733333333333335,0.214022665636081,0.610173423014655,15.0389,1.1175977240630075,0.06807213084473661,0.0,0.2725894585573432,0.0,0.0,0.0,0.06807213084473661,0.0,214.66666666666666,0.0,0.6572614574170834,161.14718283325954,0.0,172.5
scenario_2a_static_jammer_weak,random,-1883.594513778807,35.03333333333333,0.17516666666666666,0.03521118089348129,0.7649428765700103,17.763033333333347,0.48112244843286667,0.40954251828353405,0.7,0.4922175758050641,0.005666666666666667,0.005666666666666667,0.0,0.40954251828353405,10.066666666666666,24.966666666666665,0.4760523591378741,0.6083290475907676,23.75496704551115,23.733333333333334,22.0
scenario_2b_static_jammer_medium,backscatter_only,-2180.070627123018,4.333333333333333,0.021666666666666667,0.004344583123560526,0.7947801869111024,17.897850000000002,0.39713563327289364,0.9799522809816771,0.0,0.14965313714695397,0.0,0.0,0.0,0.9799522809816771,4.333333333333333,0.0,0.020047719018322963,0.0,1.0666666666666667,217.5,0.0
scenario_2b_static_jammer_medium,greedy_nearest,-2191.9974868323884,5.433333333333334,0.02716666666666667,0.005454657108637549,0.7939357223698668,17.868516666666668,0.2232932985627688,0.9787695702601192,0.0,0.1670857599996254,0.0,0.0,0.0,0.9787695702601192,4.066666666666666,1.3666666666666667,0.019003098967124488,0.05548718650045659,1.0666666666666667,216.43333333333334,13.0
scenario_2b_static_jammer_medium,greedy_sinr,-2251.1060545441705,12.766666666666667,0.06383333333333334,0.012679115958119314,0.7882920630519454,17.810683333333333,0.16942179564781912,0.9627850213725506,8.233333333333333,0.29671995178322835,0.001,0.0,0.4,0.9627850213725506,8.166666666666666,4.6,0.03629770004317004,0.040056197810385163,1.0666666666666667,218.23333333333332,57.266666666666666
scenario_2b_static_jammer_medium,htt_only,-2091.288797054673,22.866666666666667,0.11433333333333334,0.02285937684436635,0.7780560105157629,17.824583333333344,0.1168141375651375,0.9346919335913559,0.0,0.18433161769746087,0.0,0.0,0.0,0.9346919335913559,0.0,22.866666666666667,0.0,0.06543945469454379,184.8230643765611,0.0,177.1
scenario_2b_static_jammer_medium,random,-1910.5022627559847,28.233333333333334,0.1411666666666667,0.028447902011162582,0.7715552059108831,17.79596666666668,0.3896420464623051,0.5445613050688939,0.7,0.440473560979976,0.005666666666666667,0.005666666666666667,0.0,0.5445613050688939,9.433333333333334,18.8,0.4482478807834262,0.467101504467742,23.688300378844485,23.733333333333334,22.0
scenario_2c_static_jammer_strong,backscatter_only,-2181.313078914219,2.1333333333333333,0.010666666666666666,0.0021338818093323765,0.7969556148567238,17.908666666666665,0.19536924810372785,0.9901359088793587,0.0,0.2785130285535919,0.0,0.0,0.0,0.9901359088793587,2.1333333333333333,0.0,0.009864091120641294,0.0,1.0666666666666667,217.5,0.0
