total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14
-3687.994016853845,371.0,1.855,0.15549036043587594,0.7678122380553227,18.252,9.839353099730458,1.8018455560951918,19.900000000000013,186.0,205.9,0.0,0.0,0.2133538976640367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,371.0,0.0,1.0,186.04648630489947,2.0,212.0,0.0,186.0,0.0,0.0,0.0,185.0,0.0,0.0,180.0,0.0,6.0,0,htt_only,scenario_1_multi_uav_calibrated,186.0,179.0,0.0,0.0,6.0,0.0,,,,,
-3810.7039527712336,352.0,1.76,0.14479638009049775,0.7745783628136569,18.2705,10.380965909090909,1.7959183673469388,20.000000000000014,176.0,196.0,0.0,0.0,0.20454305335446382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,352.0,0.0,1.0,186.6516226928594,0.0,224.0,0.0,176.0,0.0,0.0,0.0,176.0,0.0,172.0,0.0,0.0,0.0,1,htt_only,scenario_1_multi_uav_calibrated,176.0,0.0,4.0,0.0,176.0,0.0,,,,,
-3730.4400000000014,372.0,1.86,0.1542928245541269,0.7673164661965989,18.535999999999994,9.965591397849458,1.8058252427184467,20.000000000000014,186.0,206.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,372.0,0.0,1.0,199.4384120346261,0.0,214.0,0.0,186.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,186.0,0.0,2,htt_only,scenario_1_multi_uav_calibrated,186.0,0.0,186.0,0.0,0.0,0.0,,,,,
-4161.99,220.0,1.1,0.0914380714879468,0.8258520365752285,18.826000000000015,17.114545454545468,20.000000000000043,10.999999999999977,0.0,10.999999999999977,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,220.0,0.0,1.0,0.0,0.0,180.0,0.0,220.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0,backscatter_only,scenario_1_multi_uav_calibrated,110.0,110.0,0.0,0.0,0.0,0.0,,,,,
-4211.420055492769,224.0,1.12,0.0919917864476386,0.826694045174538,18.897500000000033,16.872767857142886,19.823008849557564,11.299999999999976,0.0,11.299999999999976,0.0,0.0,0.2035702693930542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,224.0,0.0,1.0,0.0,2.0,174.0,2.0,224.0,0.0,0.0,0.0,0.0,112.0,0.0,110.0,0.0,0.0,0.0,1,backscatter_only,scenario_1_multi_uav_calibrated,112.0,0.0,2.0,0.0,112.0,0.0,,,,,
-4152.4429999999975,204.0,1.02,0.08582246529238537,0.8304585612116113,18.825000000000024,18.4558823529412,19.805825242718488,10.29999999999998,0.0,10.29999999999998,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,204.0,0.0,1.0,0.0,2.0,194.0,2.0,204.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,102.0,0.0,2,backscatter_only,scenario_1_multi_uav_calibrated,102.0,0.0,102.0,0.0,0.0,0.0,,,,,
-4719.634278296059,19.0,0.095,0.007959782153330541,0.9082530372852954,19.100000000000005,201.05263157894743,0.3041242127329298,50.47447327281722,12.0,62.47447327281722,0.5,0.0,0.5553846153846145,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,12.0,0.5,5.0,14.0,12.0,24.0,0.4166666666666667,0.5833333333333334,17.0,129.0,19.0,13.0,13.0,112.0,114.0,0.0,11.0,0.0,0.0,2.0,0.0,4.0,0,random,scenario_2a_static_jammer_weak,8.0,2.0,4.0,0.0,4.0,3.0,,,,,
-4835.311381211466,26.0,0.13,0.01059926620464737,0.9082755809213209,19.18900000000001,147.6076923076924,0.3834560977903888,52.80437226013955,15.0,67.80437226013956,0.3103448275862069,0.0,0.49705882352941144,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,9.0,0.3103448275862069,10.0,16.0,14.0,30.0,0.7142857142857143,0.5333333333333333,17.0,113.0,17.0,15.0,15.0,132.0,108.0,0.0,23.0,5.0,4.0,1.0,0.0,7.0,1,random,scenario_2a_static_jammer_weak,3.0,0.0,0.0,0.0,6.0,3.0,,,,,
-4739.387447286951,31.0,0.155,0.0128470783257356,0.904268545379196,19.156000000000013,123.58709677419364,0.4797053575894002,50.62300141024106,14.0,64.62300141024106,0.19230769230769232,0.0,0.5686390532544375,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,5.0,0.19230769230769232,9.0,22.0,12.0,28.0,0.75,0.7857142857142857,17.0,115.0,17.0,13.0,17.0,116.0,122.0,0.0,17.0,7.0,0.0,0.0,6.0,1.0,2,random,scenario_2a_static_jammer_weak,14.0,4.0,7.0,3.0,0.0,3.0,,,,,
-4648.570395682353,89.0,0.445,0.037067888379841735,0.8796334860474803,18.817500000000024,42.28651685393264,3.6252545824847284,11.549999999999976,13.0,24.549999999999976,0.45021645021645024,0.0,0.14021950787750045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.45021645021645024,73.0,16.0,218.0,26.0,0.3348623853211009,0.6153846153846154,0.0,169.0,0.0,218.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,74.0,0.0,2.0,0,greedy_nearest,scenario_2a_static_jammer_weak,76.0,13.0,0.0,0.0,0.0,0.0,,,,,
