episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
40,200,-2070.10907700026,19.0,0.6248,0.6764705882352942,0.1129890453834115,0.866981,cuda,dueling,scale,100.0,16000,0.0003583717326546,-0.1560201767086982,32.0,24.0,13.0,0.01,0.46875,0.1818181818181818
41,200,-1986.636231801197,14.0,0.6139767054908486,0.8541666666666666,0.1555555555555554,0.863181,cuda,dueling,scale,100.0,16400,0.0003972866052936,-0.1649543842673301,48.0,35.0,13.0,0.0075,0.1851851851851851,0.1904761904761904
42,200,-2035.4262802495116,20.0,0.6180781758957655,0.6521739130434783,0.4597701149425282,0.859381,cuda,dueling,scale,100.0,16800,0.0004244901391211,-0.1727314188331365,59.0,36.0,12.0,0.0075,0.3181818181818182,0.4615384615384615
43,200,-2124.926222255224,8.0,0.636219221604448,0.7837837837837838,0.1777777777777772,0.855581,cuda,dueling,scale,100.0,17200,0.00036970308538,-0.1750813994184136,32.0,32.0,7.0,0.0075,0.1875,0.1818181818181818
44,200,-1891.1068221779192,37.0,0.5897219882055602,0.5636363636363636,0.4680341880341879,0.851781,cuda,dueling,scale,100.0,17600,0.0003886604162835,-0.1756756383925676,35.0,43.0,13.0,0.0025,0.4333333333333333,0.4782608695652174
45,200,-1969.9929572239985,26.0,0.6069364161849711,0.6851851851851852,0.5240310077519376,0.847981,cuda,dueling,scale,100.0,18000,0.0005494525263202,-0.1868223116546869,37.0,44.0,13.0,0.01,0.25,0.52
46,200,-2168.4607814570795,3.0,0.6381789137380192,0.9473684210526316,0.1199999999999984,0.8441810000000001,cuda,dueling,scale,100.0,18400,0.0005167413601884,-0.1993576879799366,31.0,30.0,9.0,0.005,0.0857142857142857,0.0
47,200,-1989.6900169201783,15.0,0.6153846153846154,0.65625,0.2542372881355929,0.840381,cuda,dueling,scale,100.0,18800,0.0005555882153566,-0.2055910890549421,41.0,29.0,6.0,0.015,0.3888888888888889,0.1111111111111111
48,200,-2066.837793482129,10.0,0.6244897959183674,0.8627450980392157,0.3333333333333322,0.836581,cuda,dueling,scale,100.0,19200,0.0005182671082729,-0.2083162407577037,36.0,44.0,8.0,0.005,0.1166666666666666,0.2142857142857142
49,200,-1867.6390057932824,51.0,0.5866336633663366,0.2888888888888888,0.5504761904761903,0.832781,cuda,dueling,scale,100.0,19600,0.0004795438740984,-0.2122982452064752,43.0,38.0,15.0,0.025,0.8113207547169812,0.4
50,200,-2023.3472665416627,15.0,0.6144278606965174,0.8431372549019608,0.176470588235294,0.828981,cuda,dueling,scale,100.0,20000,0.0005831109933205,-0.2191783237457275,38.0,42.0,13.0,0.01,0.2363636363636363,0.0833333333333333
51,200,-1758.7369539173435,40.0,0.5656028368794326,0.5967741935483871,0.476190476190476,0.825181,cuda,dueling,scale,100.0,20400,0.0005365872263791,-0.221516463458538,43.0,47.0,15.0,0.0025,0.410958904109589,0.3846153846153846
52,200,-2032.677606178172,32.0,0.6144578313253012,0.5769230769230769,0.3631205673758864,0.821381,cuda,dueling,scale,100.0,20800,0.0004942268731247,-0.2279610852897167,33.0,46.0,8.0,0.0075,0.3833333333333333,0.6
53,200,-1926.87957882318,47.0,0.5944399018806215,0.3684210526315789,0.4449144008056394,0.817581,cuda,dueling,scale,100.0,21200,0.0005005928482569,-0.2297147466242313,39.0,40.0,19.0,0.005,0.6,0.6538461538461539
54,200,-2045.6729726547896,2.0,0.6255178127589064,0.9428571428571428,0.1333333333333289,0.813781,cuda,dueling,scale,100.0,21600,0.0004895612031396,-0.230310483649373,19.0,34.0,5.0,0.015,0.0625,0.0
55,200,-1999.053894629345,18.0,0.6125827814569537,0.725,0.2999999999999997,0.8099810000000001,cuda,dueling,scale,100.0,22000,0.0004652028805867,-0.2301549516618251,40.0,30.0,10.0,0.005,0.2,0.5
56,200,-1836.7565703548703,47.0,0.5752136752136752,0.4677419354838709,0.3565778853914446,0.806181,cuda,dueling,scale,100.0,22400,0.0005386148698744,-0.2396600299328565,29.0,52.0,16.0,0.0175,0.4428571428571428,0.64
