episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
13,200,-2028.1163255161368,18.0,0.616078753076292,0.7407407407407407,0.41538461538461485,0.939162,5200,2.8109664952754976,-13.411842503547668,45.0,42.0,13.0,0.005,0.3137254901960784,0.08695652173913043
14,200,-2019.7944426675156,18.0,0.6119402985074627,0.8289473684210527,0.41538461538461485,0.931562,5600,3.0936457502841948,-14.839736151695252,51.0,66.0,11.0,0.0025,0.18604651162790697,0.11764705882352941
15,200,-1996.8551894021389,28.0,0.6128246753246753,0.5476190476190477,0.39004975124378094,0.923962,6000,3.2394617521762847,-15.291171264648437,36.0,32.0,13.0,0.0075,0.43902439024390244,0.5
16,200,-1950.1885174617662,37.0,0.6031096563011457,0.4,0.4167427701674276,0.916362,6400,2.386952143907547,-12.757491869926453,38.0,40.0,5.0,0.0075,0.5510204081632653,1.0
17,200,-2046.7864456266263,14.0,0.6209150326797386,0.8333333333333334,0.25128205128205094,0.908762,6800,2.4923751413822175,-13.44945843219757,50.0,41.0,14.0,0.005,0.22641509433962265,0.08333333333333333
18,200,-2039.4800324929265,24.0,0.6130612244897959,0.7076923076923077,0.19999999999999993,0.901162,7200,2.5727955389022825,-13.789242434501649,24.0,62.0,9.0,0.0175,0.2631578947368421,0.25
19,200,-1896.881297188884,33.0,0.5911789652247668,0.5686274509803921,0.5006896551724136,0.893562,7600,2.7204701018333437,-14.855415897369385,34.0,36.0,16.0,0.0025,0.4489795918367347,0.39285714285714285
20,200,-2056.4799163056036,3.0,0.6237541528239202,0.96,0.11999999999999841,0.885962,8000,2.6705350279808044,-15.129550762176514,39.0,39.0,15.0,0.015,0.019230769230769232,0.08
21,200,-1987.2457593029328,32.0,0.6092985318107668,0.5348837209302325,0.33795379537953785,0.878362,8400,2.663096633553505,-14.399631295204163,35.0,37.0,9.0,0.0125,0.45098039215686275,0.6
22,200,-1969.206035507035,25.0,0.6058091286307054,0.6491228070175439,0.3687315634218287,0.870762,8800,2.560246250629425,-14.620514678955079,31.0,45.0,14.0,0.015,0.3333333333333333,0.38095238095238093
23,200,-2138.989192549415,9.0,0.6262214983713354,0.9016393442622951,0.23478260869565148,0.863162,9200,2.8103325659036638,-15.960166463851928,46.0,53.0,10.0,0.01,0.13636363636363635,0.0
24,200,-2019.278877255701,31.0,0.6098945660989457,0.6290322580645161,0.5383753501400558,0.8555619999999999,9600,2.6998490422964094,-16.41543580055237,43.0,45.0,18.0,0.01,0.24561403508771928,0.5483870967741935
25,200,-1941.5071219850824,37.0,0.595850622406639,0.5882352941176471,0.372517006802721,0.847962,10000,2.9100410962104797,-17.49455491542816,56.0,53.0,18.0,0.01,0.3611111111111111,0.4583333333333333
26,200,-1928.639765591348,35.0,0.5951585976627712,0.6666666666666666,0.6234096692111957,0.840362,10400,3.265589464902878,-18.387175192832945,57.0,52.0,24.0,0.0125,0.35384615384615387,0.3
27,200,-2051.2692349203107,4.0,0.6235489220563848,0.9230769230769231,0.13333333333333222,0.832762,10800,3.54734711766243,-20.889297523498534,48.0,33.0,9.0,0.0125,0.05,0.125
28,200,-1960.0156254552032,27.0,0.602177554438861,0.7090909090909091,0.2910179640718562,0.825162,11200,2.9872154903411867,-20.157040243148803,28.0,52.0,7.0,0.01,0.36764705882352944,0.16666666666666666
29,200,-1917.7003652713627,30.0,0.5969773299748111,0.5208333333333334,0.28301886792452824,0.817562,11600,2.9708936858177184,-21.22918766975403,32.0,39.0,13.0,0.01,0.38636363636363635,0.65
30,200,-1923.5113859185872,19.0,0.5996578272027374,0.6981132075471698,0.40790960451977354,0.8099620000000001,12000,3.082922161817551,-21.482550973892213,33.0,45.0,10.0,0.01,0.2777777777777778,0.25
