step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
26.0,1.0,0.0,0.0,11.2,33.30685935032765,996.3115223689157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-1.2445769230769241,0.0,0.0,0.0,1.1199999999999999,0.0015000000000000002,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
27.0,0.0,0.0,1.0,11.4,33.30685935032765,996.1201010126784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,-3.264991136639298,0.0,0.0,2.0,1.1400000000000001,0.0019142135623730955,0.0,0.0,0.12307692307692425,0,random,scenario_0_no_jammer_calibrated
28.0,1.0,1.0,0.0,11.8,33.30685935032765,995.9701010126785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-0.30150000000000104,1.0,0.0,0.0,1.1800000000000002,0.0015000000000000002,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
29.0,1.0,0.0,0.0,12.2,33.30685935032765,995.8201010126785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-1.3415000000000008,0.0,0.0,0.0,1.22,0.0015000000000000002,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
30.0,0.0,0.0,0.0,12.6,33.30685935032765,995.7201010126785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-1.3810000000000007,0.0,0.0,0.0,1.26,0.001,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
31.0,1.0,0.0,1.0,12.8,33.30685935032765,995.6201010126784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.401000000000001,0.0,0.0,2.0,1.2800000000000002,0.001,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
32.0,1.0,0.0,0.0,13.4,34.30685935032765,995.5701010126785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-1.460500000000001,0.0,0.0,0.0,1.34,0.0005,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
33.0,0.0,0.0,1.0,13.8,34.30685935032765,995.4201010126785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.501500000000001,0.0,0.0,2.0,1.3800000000000001,0.0015000000000000002,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
34.0,1.0,0.0,1.0,14.2,34.30685935032765,995.2286796564413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.5419142135623742,0.0,0.0,2.0,1.42,0.0019142135623730955,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
35.0,1.0,0.0,2.0,14.8,34.30685935032765,995.1786796564413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-5.600500000000001,0.0,0.0,4.0,1.4800000000000002,0.0005,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
