step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
20.0,1.0,1.0,0.0,5.8,34.30685935032765,999.4500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,3.0,0.28846551724137914,1.0,0.0,0.0,0.58,0.0005,0.0,0.0,0.13103448275862092,0,backscatter_only,scenario_0_no_jammer_calibrated
21.0,0.0,0.0,0.0,6.0,34.30685935032765,999.4500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,3.0,-0.731034482758621,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.13103448275862092,0,backscatter_only,scenario_0_no_jammer_calibrated
22.0,0.0,0.0,0.0,6.8,34.30685935032765,999.4500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,3.0,-0.811034482758621,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.13103448275862092,0,backscatter_only,scenario_0_no_jammer_calibrated
23.0,1.0,1.0,0.0,7.0,34.30685935032765,999.4000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,4.0,0.17396153846153814,1.0,0.0,0.0,0.7000000000000001,0.0005,0.0,0.0,0.1255384615384618,0,backscatter_only,scenario_0_no_jammer_calibrated
24.0,1.0,1.0,0.0,7.2,34.30685935032765,999.3500000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,4.0,0.15149999999999972,1.0,0.0,0.0,0.7200000000000001,0.0005,0.0,0.0,0.1280000000000002,0,backscatter_only,scenario_0_no_jammer_calibrated
25.0,0.0,0.0,0.0,8.0,34.30685935032765,999.3500000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,4.0,-0.9280000000000003,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1280000000000002,0,backscatter_only,scenario_0_no_jammer_calibrated
26.0,1.0,1.0,0.0,8.4,34.30685935032765,999.3000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,4.0,0.029190721649484302,1.0,0.0,0.0,0.8400000000000001,0.0005,0.0,0.0,0.13030927835051562,0,backscatter_only,scenario_0_no_jammer_calibrated
27.0,0.0,0.0,0.0,8.6,34.30685935032765,999.3000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,4.0,-0.9903092783505156,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.13030927835051562,0,backscatter_only,scenario_0_no_jammer_calibrated
28.0,0.0,0.0,0.0,9.4,34.30685935032765,999.3000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,4.0,-1.0703092783505157,0.0,0.0,0.0,0.9400000000000001,0.0,0.0,0.0,0.13030927835051562,0,backscatter_only,scenario_0_no_jammer_calibrated
29.0,1.0,1.0,0.0,9.4,34.30685935032765,999.2500000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,4.0,-0.07291379310344848,1.0,0.0,0.0,0.9400000000000001,0.0005,0.0,0.0,0.13241379310344842,0,backscatter_only,scenario_0_no_jammer_calibrated
